ioc,signature,total_hits
nabajgdergripoz[.]biz,Conficker_B_DGA,1
abajgdergripoz[.]com,Conficker_B_DGA,1
bajgdergrip[.]info,Conficker_B_DGA,1
ajgdergripozu[.]net,Conficker_B_DGA,1
jgdergripozub[.]org,Conficker_B_DGA,1
gdergripozubsnq[.]cn,Conficker_B_DGA,1
dergripozubs[.]ws,Conficker_B_DGA,1
ergripozubsnqrup[.]biz,Conficker_B_DGA,1
rgripozubsnqrupm[.]com,Conficker_B_DGA,1
gripozub[.]info,Conficker_B_DGA,1
ripozubsn[.]net,Conficker_B_DGA,1
ipozubsnqrupmpwx[.]org,Conficker_B_DGA,1
pozubsnqrupmpwx[.]cn,Conficker_B_DGA,1
ozubsnqrupmp[.]ws,Conficker_B_DGA,1
zubsnqrupmp[.]biz,Conficker_B_DGA,1
ubsnqrupmp[.]com,Conficker_B_DGA,1
bsnqrupmpwxmrgp[.]info,Conficker_B_DGA,1
snqrupmpwxmrgpin[.]net,Conficker_B_DGA,1
nqrupmpwxmrgping[.]org,Conficker_B_DGA,1
qrupmpwxmrgping[.]cn,Conficker_B_DGA,1
rupmpwxmrgpingf[.]ws,Conficker_B_DGA,1
upmpwxmrgpin[.]biz,Conficker_B_DGA,1
pmpwxmrgpin[.]com,Conficker_B_DGA,1
mpwxmrgpingfejo[.]info,Conficker_B_DGA,1
pwxmrgping[.]net,Conficker_B_DGA,1
wxmrgpingf[.]org,Conficker_B_DGA,1
xmrgping[.]cn,Conficker_B_DGA,1
mrgpingfejotwlqd[.]ws,Conficker_B_DGA,1
rgpingfejot[.]biz,Conficker_B_DGA,1
gpingfejotwl[.]com,Conficker_B_DGA,1
pingfejotwlqdgfs[.]info,Conficker_B_DGA,1
ingfejotwlqdg[.]net,Conficker_B_DGA,1
ngfejotwl[.]org,Conficker_B_DGA,1
gfejotwlqdg[.]cn,Conficker_B_DGA,1
fejotwlqd[.]ws,Conficker_B_DGA,1
ejotwlqdgfsbcns[.]biz,Conficker_B_DGA,1
jotwlqdgfsbc[.]com,Conficker_B_DGA,1
otwlqdgf[.]info,Conficker_B_DGA,1
twlqdgfsbcn[.]net,Conficker_B_DGA,1
wlqdgfsbcnst[.]org,Conficker_B_DGA,1
lqdgfsbc[.]cn,Conficker_B_DGA,1
qdgfsbcnstaxcfkf[.]ws,Conficker_B_DGA,1
dgfsbcns[.]biz,Conficker_B_DGA,1
gfsbcnstaxcfkfgh[.]com,Conficker_B_DGA,1
fsbcnsta[.]info,Conficker_B_DGA,1
sbcnstax[.]net,Conficker_B_DGA,1
bcnstaxc[.]org,Conficker_B_DGA,1
cnstaxcfkfghg[.]cn,Conficker_B_DGA,1
nstaxcfkfghgtmz[.]ws,Conficker_B_DGA,1
staxcfkfgh[.]biz,Conficker_B_DGA,1
taxcfkfg[.]com,Conficker_B_DGA,1
axcfkfghgtmzsd[.]info,Conficker_B_DGA,1
xcfkfghgtmzsd[.]net,Conficker_B_DGA,1
cfkfghgtmz[.]org,Conficker_B_DGA,1
fkfghgtmzsdedkv[.]cn,Conficker_B_DGA,1
kfghgtmz[.]ws,Conficker_B_DGA,1
fghgtmzsdedkvcnk[.]biz,Conficker_B_DGA,1
ghgtmzsdedkv[.]com,Conficker_B_DGA,1
hgtmzsde[.]info,Conficker_B_DGA,1
gtmzsdedkv[.]net,Conficker_B_DGA,1
tmzsdedkvcnkbq[.]org,Conficker_B_DGA,1
mzsdedkvcnkbqvqb[.]cn,Conficker_B_DGA,1
zsdedkvcnkbqv[.]ws,Conficker_B_DGA,1
sdedkvcnkbqv[.]biz,Conficker_B_DGA,1
dedkvcnkbqvqbuz[.]com,Conficker_B_DGA,1
edkvcnkb[.]info,Conficker_B_DGA,1
dkvcnkbqvqbuzyfc[.]net,Conficker_B_DGA,1
kvcnkbqvqbuzyfcp[.]org,Conficker_B_DGA,1
vcnkbqvqbuzyfcp[.]cn,Conficker_B_DGA,1
cnkbqvqbuzyfc[.]ws,Conficker_B_DGA,1
nkbqvqbuzyfcpqty[.]biz,Conficker_B_DGA,1
kbqvqbuzyfcpqt[.]com,Conficker_B_DGA,1
bqvqbuzyfcp[.]info,Conficker_B_DGA,1
qvqbuzyfcpq[.]net,Conficker_B_DGA,1
vqbuzyfcp[.]org,Conficker_B_DGA,1
qbuzyfcpqtyl[.]cn,Conficker_B_DGA,1
buzyfcpqtyluzwzm[.]ws,Conficker_B_DGA,1
uzyfcpqtyluzwzmp[.]biz,Conficker_B_DGA,1
zyfcpqtylu[.]com,Conficker_B_DGA,1
yfcpqtyluzwzmp[.]info,Conficker_B_DGA,1
fcpqtyluzw[.]net,Conficker_B_DGA,1
cpqtyluzwz[.]org,Conficker_B_DGA,1
pqtyluzwzmp[.]cn,Conficker_B_DGA,1
qtyluzwzmpo[.]ws,Conficker_B_DGA,1
tyluzwzmpobutinm[.]biz,Conficker_B_DGA,1
yluzwzmpobutin[.]com,Conficker_B_DGA,1
luzwzmpobu[.]info,Conficker_B_DGA,1
uzwzmpobutinm[.]net,Conficker_B_DGA,1
zwzmpobutinml[.]org,Conficker_B_DGA,1
wzmpobutinmlwz[.]cn,Conficker_B_DGA,1
zmpobutinmlwzqru[.]ws,Conficker_B_DGA,1
mpobutinml[.]biz,Conficker_B_DGA,1
pobutinmlwzqrudc[.]com,Conficker_B_DGA,1
obutinml[.]info,Conficker_B_DGA,1
butinmlwzqrud[.]net,Conficker_B_DGA,1
utinmlwzqru[.]org,Conficker_B_DGA,1
tinmlwzqru[.]cn,Conficker_B_DGA,1
inmlwzqrudczadsp[.]ws,Conficker_B_DGA,1
nmlwzqrudc[.]biz,Conficker_B_DGA,1
mlwzqrudc[.]com,Conficker_B_DGA,1
lwzqrudczadspwp[.]info,Conficker_B_DGA,1
wzqrudczadspwpul[.]net,Conficker_B_DGA,1
zqrudczadsp[.]org,Conficker_B_DGA,1
qrudczads[.]cn,Conficker_B_DGA,1
rudczadsp[.]ws,Conficker_B_DGA,1
udczadspwp[.]biz,Conficker_B_DGA,1
dczadspwpulkxi[.]com,Conficker_B_DGA,1
czadspwpulkxitm[.]info,Conficker_B_DGA,1
zadspwpulkxitm[.]net,Conficker_B_DGA,1
adspwpulkxitmn[.]org,Conficker_B_DGA,1
dspwpulkxit[.]cn,Conficker_B_DGA,1
spwpulkxit[.]ws,Conficker_B_DGA,1
pwpulkxitmn[.]biz,Conficker_B_DGA,1
wpulkxitm[.]com,Conficker_B_DGA,1
pulkxitmnmjgxk[.]info,Conficker_B_DGA,1
ulkxitmnmjgxkzk[.]net,Conficker_B_DGA,1
lkxitmnmjgxkzk[.]org,Conficker_B_DGA,1
kxitmnmj[.]cn,Conficker_B_DGA,1
xitmnmjgxkzkr[.]ws,Conficker_B_DGA,1
itmnmjgxkzk[.]biz,Conficker_B_DGA,1
tmnmjgxkzkre[.]com,Conficker_B_DGA,1
mnmjgxkzkrer[.]info,Conficker_B_DGA,1
nmjgxkzkrer[.]net,Conficker_B_DGA,1
mjgxkzkreryx[.]org,Conficker_B_DGA,1
jgxkzkreryxstija[.]cn,Conficker_B_DGA,1
gxkzkreryxs[.]ws,Conficker_B_DGA,1
xkzkrery[.]biz,Conficker_B_DGA,1
kzkreryxstijazuf[.]com,Conficker_B_DGA,1
zkreryxstij[.]info,Conficker_B_DGA,1
kreryxst[.]net,Conficker_B_DGA,1
reryxstijazu[.]org,Conficker_B_DGA,1
eryxstijazuf[.]cn,Conficker_B_DGA,1
ryxstijazu[.]ws,Conficker_B_DGA,1
yxstijaz[.]biz,Conficker_B_DGA,1
xstijazufixu[.]com,Conficker_B_DGA,1
stijazufixujqtm[.]info,Conficker_B_DGA,1
tijazufixujqtm[.]net,Conficker_B_DGA,1
ijazufix[.]org,Conficker_B_DGA,1
jazufixuj[.]cn,Conficker_B_DGA,1
azufixujqtmpsbkz[.]ws,Conficker_B_DGA,1
zufixujqtmpsbkz[.]biz,Conficker_B_DGA,1
ufixujqtmps[.]com,Conficker_B_DGA,1
fixujqtm[.]info,Conficker_B_DGA,1
ixujqtmps[.]net,Conficker_B_DGA,1
xujqtmpsbkzmrix[.]org,Conficker_B_DGA,1
ujqtmpsbkz[.]cn,Conficker_B_DGA,1
jqtmpsbkzmrixml[.]ws,Conficker_B_DGA,1
qtmpsbkzmrix[.]biz,Conficker_B_DGA,1
tmpsbkzmrixmlav[.]com,Conficker_B_DGA,1
mpsbkzmrixmlavy[.]info,Conficker_B_DGA,1
psbkzmrixmlavy[.]net,Conficker_B_DGA,1
sbkzmrixml[.]org,Conficker_B_DGA,1
bkzmrixmlavybez[.]cn,Conficker_B_DGA,1
kzmrixmlavybez[.]ws,Conficker_B_DGA,1
zmrixmlavybezg[.]biz,Conficker_B_DGA,1
mrixmlavybez[.]com,Conficker_B_DGA,1
rixmlavybez[.]info,Conficker_B_DGA,1
ixmlavyb[.]net,Conficker_B_DGA,1
xmlavybezgvwpgx[.]org,Conficker_B_DGA,1
mlavybez[.]cn,Conficker_B_DGA,1
lavybezgvwpgxif[.]ws,Conficker_B_DGA,1
avybezgvwpgxif[.]biz,Conficker_B_DGA,1
vybezgvwpgxi[.]com,Conficker_B_DGA,1
ybezgvwpgxifyrc[.]info,Conficker_B_DGA,1
bezgvwpgxif[.]net,Conficker_B_DGA,1
ezgvwpgxifyrc[.]org,Conficker_B_DGA,1
zgvwpgxifyrc[.]cn,Conficker_B_DGA,1
gvwpgxif[.]ws,Conficker_B_DGA,1
vwpgxify[.]biz,Conficker_B_DGA,1
wpgxifyrcz[.]com,Conficker_B_DGA,1
pgxifyrc[.]info,Conficker_B_DGA,1
gxifyrczwj[.]net,Conficker_B_DGA,1
xifyrczwjcxcvut[.]org,Conficker_B_DGA,1
ifyrczwjcx[.]cn,Conficker_B_DGA,1
fyrczwjcx[.]ws,Conficker_B_DGA,1
yrczwjcxcvut[.]biz,Conficker_B_DGA,1
rczwjcxcvutqd[.]com,Conficker_B_DGA,1
czwjcxcvutq[.]info,Conficker_B_DGA,1
zwjcxcvutqd[.]net,Conficker_B_DGA,1
wjcxcvut[.]org,Conficker_B_DGA,1
jcxcvutq[.]cn,Conficker_B_DGA,1
cxcvutqdstmzqp[.]ws,Conficker_B_DGA,1
xcvutqdstmzq[.]biz,Conficker_B_DGA,1
cvutqdstm[.]com,Conficker_B_DGA,1
vutqdstmzqpc[.]info,Conficker_B_DGA,1
utqdstmzqpcr[.]net,Conficker_B_DGA,1
tqdstmzq[.]org,Conficker_B_DGA,1
qdstmzqpcrqfa[.]cn,Conficker_B_DGA,1
dstmzqpcrqfahk[.]ws,Conficker_B_DGA,1
stmzqpcr[.]biz,Conficker_B_DGA,1
tmzqpcrqf[.]com,Conficker_B_DGA,1
mzqpcrqfahkhsje[.]info,Conficker_B_DGA,1
zqpcrqfahkhsje[.]net,Conficker_B_DGA,1
qpcrqfah[.]org,Conficker_B_DGA,1
pcrqfahkhsjetcr[.]cn,Conficker_B_DGA,1
crqfahkhsjetc[.]ws,Conficker_B_DGA,1
rqfahkhsjet[.]biz,Conficker_B_DGA,1
qfahkhsjetcre[.]com,Conficker_B_DGA,1
fahkhsjetcretm[.]info,Conficker_B_DGA,1
ahkhsjetcret[.]net,Conficker_B_DGA,1
hkhsjetcretmfg[.]org,Conficker_B_DGA,1
khsjetcretm[.]cn,Conficker_B_DGA,1
hsjetcre[.]ws,Conficker_B_DGA,1
sjetcretmfglyz[.]biz,Conficker_B_DGA,1
jetcretmfglyz[.]com,Conficker_B_DGA,1
etcretmfgly[.]info,Conficker_B_DGA,1
tcretmfglyza[.]net,Conficker_B_DGA,1
cretmfglyzapkr[.]org,Conficker_B_DGA,1
retmfglyzapkr[.]cn,Conficker_B_DGA,1
etmfglyz[.]ws,Conficker_B_DGA,1
tmfglyzapkritcx[.]biz,Conficker_B_DGA,1
mfglyzapk[.]com,Conficker_B_DGA,1
fglyzapkritcxgx[.]info,Conficker_B_DGA,1
glyzapkritcxg[.]net,Conficker_B_DGA,1
lyzapkritcx[.]org,Conficker_B_DGA,1
yzapkritcxg[.]cn,Conficker_B_DGA,1
zapkritcxgxu[.]ws,Conficker_B_DGA,1
apkritcxgxu[.]biz,Conficker_B_DGA,1
pkritcxg[.]com,Conficker_B_DGA,1
kritcxgxunefc[.]info,Conficker_B_DGA,1
ritcxgxunefcfuxc[.]net,Conficker_B_DGA,1
itcxgxunefc[.]org,Conficker_B_DGA,1
tcxgxune[.]cn,Conficker_B_DGA,1
cxgxunefcfuxcr[.]ws,Conficker_B_DGA,1
xgxunefcfuxc[.]biz,Conficker_B_DGA,1
gxunefcfu[.]com,Conficker_B_DGA,1
xunefcfuxcrspov[.]info,Conficker_B_DGA,1
unefcfuxcrspovmt[.]net,Conficker_B_DGA,1
nefcfuxcrspo[.]org,Conficker_B_DGA,1
efcfuxcrs[.]cn,Conficker_B_DGA,1
fcfuxcrspovmtoha[.]ws,Conficker_B_DGA,1
cfuxcrsp[.]biz,Conficker_B_DGA,1
fuxcrspovmt[.]com,Conficker_B_DGA,1
uxcrspovm[.]info,Conficker_B_DGA,1
xcrspovmtohaj[.]net,Conficker_B_DGA,1
crspovmtohajwrw[.]org,Conficker_B_DGA,1
rspovmtoha[.]cn,Conficker_B_DGA,1
spovmtohajwr[.]ws,Conficker_B_DGA,1
povmtoha[.]biz,Conficker_B_DGA,1
ovmtohajwrwtijcn[.]com,Conficker_B_DGA,1
vmtohajw[.]info,Conficker_B_DGA,1
mtohajwrwtijcn[.]net,Conficker_B_DGA,1
tohajwrwtijcny[.]org,Conficker_B_DGA,1
ohajwrwtijcnyzk[.]cn,Conficker_B_DGA,1
hajwrwtijcnyzkt[.]ws,Conficker_B_DGA,1
ajwrwtij[.]biz,Conficker_B_DGA,1
jwrwtijcnyz[.]com,Conficker_B_DGA,1
wrwtijcnyzktone[.]info,Conficker_B_DGA,1
rwtijcnyzkt[.]net,Conficker_B_DGA,1
wtijcnyzktone[.]org,Conficker_B_DGA,1
zclapcbajclkbmtejkvw[.]com,Locky_DGA,1
clapcbajclkbmtejkvwh[.]net,Locky_DGA,1
lapcbajclkbmtejkvwhy[.]org,Locky_DGA,1
apcbajclkbmtejkvwhyd[.]biz,Locky_DGA,1
pcbajclkbmtejkvwhydu[.]info,Locky_DGA,1
cbajclkbmtejkvwhyduv[.]com,Locky_DGA,1
bajclkbmtejkvwhyduve[.]net,Locky_DGA,1
ajclkbmtejkvwhyduvel[.]org,Locky_DGA,1
jclkbmtejkvwhyduvela[.]biz,Locky_DGA,1
clkbmtejkvwhyduvelab[.]info,Locky_DGA,1
lkbmtejkvwhyduvelabe[.]com,Locky_DGA,1
kbmtejkvwhyduvelabet[.]net,Locky_DGA,1
bmtejkvwhyduvelabetq[.]org,Locky_DGA,1
mtejkvwhyduvelabetqt[.]biz,Locky_DGA,1
tejkvwhyduvelabetqtc[.]info,Locky_DGA,1
ejkvwhyduvelabetqtcd[.]com,Locky_DGA,1
