ioc,signature,total_hits
206[.]1[.]21[.]1,None,4278
171[.]231[.]180[.]149,None,903
92[.]118[.]39[.]235,putty,528
2[.]57[.]122[.]193,putty,496
27[.]79[.]5[.]46,None,496
45[.]148[.]10[.]157,putty,465
2[.]57[.]122[.]196,putty,435
92[.]118[.]39[.]197,putty,435
45[.]148[.]10[.]152,putty,378
92[.]118[.]39[.]195,putty,378
45[.]148[.]10[.]151,putty,378
45[.]148[.]10[.]141,putty,351
2[.]57[.]122[.]194,putty,351
45[.]227[.]254[.]170,putty,325
2[.]57[.]122[.]191,putty,325
2[.]57[.]122[.]188,putty,325
2[.]57[.]122[.]195,putty,300
45[.]148[.]10[.]147,putty,300
195[.]178[.]110[.]15,putty,253
92[.]118[.]39[.]196,putty,231
2[.]57[.]122[.]190,putty,231
2[.]57[.]122[.]197,putty,210
45[.]148[.]10[.]183,None,210
2[.]57[.]122[.]199,putty,190
2[.]57[.]122[.]189,putty,190
2[.]57[.]122[.]192,putty,171
141[.]148[.]175[.]56,paramiko,136
157[.]151[.]175[.]225,paramiko,136
138[.]2[.]232[.]2,paramiko,136
92[.]118[.]39[.]236,putty,120
5[.]223[.]71[.]106,paramiko,45
211[.]215[.]17[.]214,None,45
165[.]22[.]101[.]46,paramiko,36
206[.]189[.]128[.]105,paramiko,28
3[.]129[.]187[.]38,None,21
45[.]148[.]10[.]121,None,21
129[.]153[.]86[.]229,paramiko,10
101[.]201[.]38[.]226,None,10
3[.]132[.]26[.]232,None,6
3[.]131[.]220[.]121,None,6
64[.]227[.]134[.]80,None,6
165[.]154[.]6[.]224,None,4
123[.]58[.]207[.]140,None,4
118[.]194[.]250[.]127,None,4
118[.]193[.]36[.]63,None,4
221[.]228[.]10[.]71,None,3
117[.]50[.]152[.]101,None,3
165[.]1[.]75[.]106,paramiko,3
106[.]75[.]88[.]37,None,3
34[.]124[.]235[.]136,None,3
221[.]228[.]10[.]226,None,3
217[.]142[.]251[.]89,paramiko,3
58[.]250[.]244[.]36,None,3
135[.]237[.]125[.]237,None,3
14[.]103[.]163[.]136,None,3
14[.]29[.]195[.]221,None,3
158[.]101[.]114[.]255,paramiko,3
141[.]148[.]42[.]109,paramiko,3
64[.]23[.]246[.]45,None,3
182[.]91[.]14[.]171,None,3
